,submission_id,user_id,location_name,submission_timestamp,questions_134999_where_are_you_eating_at_the_moment,questions_135005_who_are_you_with,questions_134999_where_are_you_eating_at_the_moment,questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today,questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded,questions_135022_who_prepared_the_food,level2dish_coded,questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded,questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded,questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
71,200,315680.0,South Africa,2019-01-11 11:48:47.733560,At my home,"[""My children""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Crackers/ wafers""]","[""It's a healthy choice"", ""Quick"", ""Cheap""]","[""Nothing""]",Breakfast
72,202,3674885412.0,South Africa,2019-03-28 15:34:18.772521,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Green salad "", ""Pasta with meat""]","[""It's a healthy choice"", ""Quick"", ""Convenient""]","[""Nothing""]",Lunch
73,211,6156007728.0,South Africa,2019-05-25 09:59:38.839029,At my home,"[""My spouse/partner"", ""My children""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Crackers/ wafers""]","[""I was hungry""]","[""Breads""]",Snack
74,212,1325874.0,South Africa,2019-05-21 21:41:42.558484,At my home,"[""My spouse/partner""]",At my home,,"[""Watching TV""]",I made it myself with some ready made ingredients,"[""Vegetable curry"", ""Meat noodles"", ""Mixed salad""]","[""Quick"", ""I like the taste"", ""It's a healthy choice""]","[""Nothing""]",Dinner
75,215,1251355336.0,South Africa,2019-05-27 12:12:16.021317,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Sandwich/ bagel"", ""Cured sausage""]","[""Easy to prepare"", ""I like the taste"", ""I was hungry""]","[""Rice / pasta / grains / pulses""]",Lunch
76,217,3762083690.0,South Africa,2019-02-20 23:03:12.215981,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Plain pasta"", ""Other grains""]","[""It looked good"", ""It's refreshing""]","[""Nothing""]",Dinner
77,218,0.0,South Africa,2019-01-31 19:24:33.854273,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Sandwich/ bagel""]","[""I like the taste"", ""Easy to prepare""]","[""Rice / pasta / grains / pulses""]",Breakfast
78,221,3022498026.0,South Africa,2019-03-27 21:01:34.329485,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Fudge/ nougat""]","[""I wanted something sweet""]","[""Nothing""]",Treat
79,224,703002446.0,South Africa,2019-03-30 15:42:31.331566,At my home,"[""Other family members""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Savoury pastry""]","[""I wanted a snack""]","[""Nothing""]",Treat
80,231,3585096000.0,South Africa,2019-03-29 11:55:54.035740,On the go / outdoors,"[""Alone""]",On the go / outdoors,Supermarket / Hypermarket / Grocery Store ,"[""Driving""]",Someone else prepared it,"[""Other meat""]","[""Other""]","[""Nothing""]",Dinner
81,233,836133400.0,South Africa,2019-02-04 17:47:54.474089,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing the internet""]",Someone else prepared it,"[""Bread/ roll/ baguette"", ""Vegetable curry""]","[""It's my habit / routine""]","[""Nothing""]",Dinner
82,234,6043849812.0,South Africa,2019-05-25 09:59:25.122194,At my home,"[""Alone""]",At my home,,"[""Nothing""]",I prepared it together with friends / family,"[""Rice with meat "", ""Shellfish"", ""Meat soup"", ""Bread/ roll/ baguette""]","[""It's my habit / routine""]","[""Rice / pasta / grains / pulses""]",Lunch
83,238,6471840.0,South Africa,2019-02-22 13:02:29.173098,At my home,"[""Alone""]",At my home,Other,"[""Watching TV""]",,"[""Apples and pears"", ""Tropical and exotic fruit"", ""Citrus fruit""]","[""It's a healthy choice""]","[""Nothing""]",Snack
84,239,6947938095.0,South Africa,2019-07-22 04:43:03.684696,On the go / outdoors,"[""My children""]",On the go / outdoors,,"[""Playing games""]",I prepared it myself from scratch,"[""Tropical and exotic fruit"", ""Cake""]","[""Easy to prepare""]","[""Nothing""]",Snack
85,240,1485721965.0,South Africa,2019-05-02 10:36:21.566456,At my home,"[""My spouse/partner"", ""Friends""]",At my home,,"[""Watching TV""]",Someone else prepared it,"[""Beans""]","[""I was hungry"", ""It's a healthy choice"", ""I like the taste""]","[""Nothing""]",Lunch
86,241,2286448.0,South Africa,2019-05-02 10:57:38.301771,At school / work,"[""Alone""]",At school / work,Work / school cafeteria,"[""Working / studying""]",It was premade / ready to eat,"[""Tropical and exotic fruit""]","[""I was hungry"", ""I wanted something sweet"", ""It's a healthy choice""]","[""Nothing""]",Snack
87,244,5077701707.0,South Africa,2019-05-02 04:29:33.602086,At my home,"[""Alone""]",At my home,,"[""Relaxing / laying down""]",I prepared it myself from scratch,"[""Sandwich/ bagel""]","[""I was hungry""]","[""Breads""]",Snack
